brand,system_type,system_code,static_calibration,dynamic_calibration,target_specs,alignment_requirements,ride_height_requirements,battery_requirements,required_tools,calibration_triggers,dtc_blockers,special_quirks,direct_links
Subaru,Lateral G-Force Sensor,LGS,Yes - via SSM,No,N/A,Calibrate after SAS,N/A,Standard 12V,SSM4/SSM5,Before EyeSight cal,Lateral G DTCs,Part of pre-calibration sequence,https://techinfo.subaru.com
Mazda,BSM Sensors,BSM,Yes - Doppler simulator,No,Doppler frequency specs,Standard alignment,Standard ride height,Standard 12V,IDS;P/N 49 G067 0A0 Doppler simulator,Rear collision;Sensor R&R;Bumper R&R,BSM DTCs,Special Doppler simulator tool required,https://mazdaserviceinfo.com
Volkswagen,Front Camera,FCAM,Yes - VAS 6430 system,No,VAS 6430 target boards,Wheel alignment verified,Air suspension: control position cal first,Vehicle empty; min 3/4 tank fuel,ODIS;VAS 6430,Windshield R&R;Camera R&R;Collision,Camera DTCs,Silicon pad required when camera removed; OEM windshield required,https://erwin.vw.com
Volkswagen,ACC Radar,ACC,Yes - VAS equipment,No,VAS radar targets,Wheel alignment verified,Air suspension: control position cal first,Correct tire inflation,ODIS;VAS equipment,Radar R&R;Front damage;Lowering kit,Radar DTCs,Labor time 1.8-2.2 hours typical,https://erwin.vw.com
Audi,Front Camera,FCAM,Yes - VAS 6430,No,VAS 6430 targets,Wheel alignment verified,Air suspension cal first,Vehicle empty; 3/4 tank,ODIS;VAS 6430,Windshield R&R;Camera R&R;Collision,Camera DTCs,2018+ A8 has LiDAR requiring specialized procedure,https://erwin.audiusa.com
Audi,LiDAR,LIDAR,Yes - specialized procedure,No,Audi-specific LiDAR targets,Wheel alignment verified,Air suspension cal first,Full battery support,ODIS;LiDAR targets,LiDAR R&R;Front collision,LiDAR DTCs,2018+ A8 only; specialized equipment required,https://erwin.audiusa.com
BMW,Front Camera,FCAM,No,Yes - DYNAMIC calibration,N/A - dynamic learning,Standard alignment,Standard ride height,Standard 12V,ISTA,Windshield R&R;Camera R&R,Camera DTCs,BMW UNIQUE: uses dynamic calibration for cameras,https://bmwtechinfo.bmwgroup.com
BMW,Front Radar,FRR,Yes - static procedure,No,BMW radar targets,Standard alignment,Standard ride height,Standard 12V,ISTA;Radar targets,Radar R&R;Front collision;Bumper R&R,Radar DTCs,Static calibration for radar only,https://bmwtechinfo.bmwgroup.com
BMW,KAFAS Camera MID,KAFAS-M,No,Yes - dynamic,N/A,Standard alignment,Standard ride height,Standard 12V,ISTA,Camera R&R;Windshield R&R,KAFAS DTCs,Medium range camera,https://bmwtechinfo.bmwgroup.com
BMW,KAFAS Camera HIGH,KAFAS-H,No,Yes - dynamic,N/A,Standard alignment,Standard ride height,Standard 12V,ISTA,Camera R&R;Windshield R&R,KAFAS DTCs,Three lenses; up to 250m range,https://bmwtechinfo.bmwgroup.com
Mercedes,Front Camera,FCAM,Yes - fixture required,No,MB-specific fixture,Check Airmatic/ABC ride height FIRST,Airmatic/ABC check required,Battery health critical,Xentry;MB fixture,Windshield R&R;Camera R&R;Collision,Camera DTCs,Check suspension before any calibration,https://startekinfo.com
Mercedes,DISTRONIC Radar,DTR,Yes - static procedure,No,MB radar targets,Check ride height first,Airmatic/ABC check required,Battery health critical,Xentry;Radar targets,Radar R&R;Power disconnect;Suspension alteration,Radar DTCs,24-step procedure after battery disconnect (some models),https://startekinfo.com
GM,Frontview Camera,FVC,Yes - SPS programming,No,N/A - plug and play,Standard alignment,Standard ride height,Standard 12V,GDS2;SPS2,Camera R&R;Windshield R&R,None typically,Mostly self-calibrating; SPS programming after replacement,https://acdelcotds.com
GM,Long-Range Radar,LRR,No - plug and play,No,N/A,Standard alignment,Standard ride height,Standard 12V,SPS2,Radar R&R,None typically,No specific calibration; SPS programming after replacement,https://acdelcotds.com
GM,Short-Range Radar,SRR,No - plug and play,No,N/A,Standard alignment,Standard ride height,Standard 12V,SPS2,Radar R&R,None typically,Self-calibrating; SPS programming after replacement,https://acdelcotds.com
GM,Side Object Sensors,SOS,No - self-calibrating,Yes - automatic during driving,N/A,N/A,N/A,Standard 12V,None required,Sensor R&R,None,Fully self-calibrating during normal driving,https://acdelcotds.com
GM,Surround Vision Cameras,SVC,Yes - GDS2 learn procedure,No,GDS2 guided procedure,Standard alignment,Standard ride height,Standard 12V,GDS2,Camera R&R,Camera DTCs,Learn procedure through GDS2,https://acdelcotds.com
Ford,Windshield Camera,WSC,Yes - static targets,Sometimes - model dependent,Ford-specific targets,Standard alignment,Full fuel tank for leveling,Standard 12V,FDRS;Targets,Windshield R&R;Camera R&R,Camera DTCs,Full fuel tank recommended for proper vehicle level,https://motorcraftservice.com
Ford,Front Radar,FRR,Yes - static procedure,No,Ford radar targets,Standard alignment,Full fuel tank,Standard 12V,FDRS;Radar targets,Front collision;Bumper work;Radar R&R,Radar DTCs,Cost ~$365 typical,https://motorcraftservice.com
Ford,360 Cameras,360C,Yes - static targets,No,4-corner target system,Standard alignment,Standard ride height,Standard 12V,FDRS;360 targets,Camera R&R,Camera DTCs,Cost ~$395 typical,https://motorcraftservice.com
Ford,BSM Sensors,BSM,Yes,Sometimes,Ford BSM targets,Standard alignment,Standard ride height,Standard 12V,FDRS;BSM targets,Rear bumper work;Sensor R&R,BSM DTCs,Model dependent static vs dynamic,https://motorcraftservice.com
Ford,Parking Sensors,PARK,No - plug and play,No,N/A,N/A,N/A,Standard 12V,FDRS for azimuth check,Sensor R&R,None typically,Azimuth/elevation check may be needed; cost ~$235,https://motorcraftservice.com
Stellantis,Forward Camera,FCAM,Yes - Autel approved,No,Autel or OEM targets,Standard alignment,Standard ride height,Standard 12V,wiTECH 2.0 or Autel,Windshield R&R;Camera R&R;Collision,Camera DTCs,Autel is factory-approved ADAS tool,https://stellantisiop.com
Stellantis,Front Radar,FRR,Yes - Autel approved,No,Autel or OEM targets,Standard alignment,Standard ride height,Standard 12V,wiTECH 2.0 or Autel,Bumper R&R;Radar R&R;Front collision,Radar DTCs,SGW bypass required on 2020+ models,https://stellantisiop.com
Hyundai,Forward Camera,FCAM,Yes - GDS SMART with targets,No,Hyundai-specific targets,Rear axle reference point,Standard ride height,Standard 12V,GDS SMART;ADAS targets,Windshield R&R;Camera R&R;Collision,Camera DTCs,Use rear axle as reference point,https://hyundaitechinfo.com
Hyundai,Front Radar,FRR,Yes - GDS SMART,No,Hyundai radar targets,Rear axle reference point,Standard ride height,Standard 12V,GDS SMART;Radar targets,Bumper R&R;Radar R&R;Front collision,Radar DTCs,Variant coding required for new sensors,https://hyundaitechinfo.com
Kia,Forward Camera,FCAM,Yes - KDS 2.0 with targets,No,Kia-specific targets,Rear axle reference point,Standard ride height,Standard 12V,KDS 2.0;ADAS targets,Windshield R&R;Camera R&R;Collision,Camera DTCs,Same process as Hyundai,https://kiatechinfo.com
Kia,Front Radar,FRR,Yes - KDS 2.0,No,Kia radar targets,Rear axle reference point,Standard ride height,Standard 12V,KDS 2.0;Radar targets,Bumper R&R;Radar R&R;Front collision,Radar DTCs,Variant coding required for new sensors,https://kiatechinfo.com
Volvo,Forward Camera,FCAM,Yes - special tools,No,Volvo-specific targets,Standard alignment,Standard ride height,Standard 12V,VIDA;CSC0708-01 tool,Windshield R&R;Camera R&R,Camera DTCs,Camera adjustment requires spirit level tool,https://volvotechinfo.com/vida
Volvo,ASDM Radar,ASDM,Yes - radar angle tool,No,Volvo radar specs,Standard alignment,Standard ride height,Standard 12V,VIDA;CSC0708-02 tool;No.6007 radar tool,Windshield R&R;Radar R&R,Radar DTCs,Special radar angle setting tools for 2007-2018,https://volvotechinfo.com/vida
Tesla,Autopilot Cameras,APC,Yes - Hyundai/Kia LDW target works,Yes - owner-initiated 20-100 miles,3 feet above ground target placement,Standard alignment,Standard ride height,Standard 12V,Toolbox 3.0;LDW target,Camera R&R;Windshield R&R,Camera DTCs,Owner can initiate via Controls > Service > Camera Calibration,https://service.tesla.com
Tesla,Radar,RADAR,Yes - Toolbox required,No,Tesla-specific procedure,Standard alignment,Standard ride height,Standard 12V,Toolbox 3.0 Radar Calibration Dashboard,Radar R&R,Radar DTCs,Requires Toolbox 3 access,https://service.tesla.com
