brand,region,official_oem_portal,adas_calibration_source,programming_portal,security_requirements,pricing_model,known_gaps,notes,direct_links
Genesis,US,genesistechinfo.com,Included,GDSM,NASTF VSP,$1680/year,None noted,Separate from Hyundai/Kia,https://genesistechinfo.com
Volvo,US/CA,volvotechinfo.com/vida,Included (IntelliSafe),VIDA,NASTF,$7548/year,NA vehicles only,Special radar angle setting tools required,https://volvotechinfo.com/vida
Volvo,EU,tis.volvocars.biz,Included,VIDA,N/A,Variable,None noted,European portal,https://tis.volvocars.biz
Jaguar,Global,topix.jlrext.com,Included,Pathfinder/TOPIx Cloud,LSID for some,Contact,DoIP VCI required 2017+,25MY+ requires secure diagnostics,https://topix.jlrext.com
Land Rover,Global,topix.jlrext.com,Included,Pathfinder/TOPIx Cloud,LSID for some,Contact,DoIP VCI required 2017+,Same as Jaguar,https://topix.jlrext.com
Renault,EU,newdialogys.renault.com,Included,CAN CLIP/Reprog,Token-based,Token purchase,Online programming needs codes,Server access and authorization codes required,https://newdialogys.renault.com
Peugeot,EU,public.servicebox.peugeot.com,Included,DiagBox,Token-based,€45.80/token,None noted,PSA Service Box system,https://public.servicebox.peugeot.com
Citroen,EU,servicebox.citroen.com,Included,DiagBox,Token-based,€45.80/token,None noted,PSA Service Box system,https://servicebox.citroen.com
Ferrari,Global,techinfo.ferrari.com,Included,DEIS,Dealer-focused,Contact,Portal reliability issues reported,Dealer-focused portal,https://techinfo.ferrari.com
McLaren,Global,mclarencars.techinfoportal.com,Included,Dealer system,N/A,~$35/hour,PayPal payment issues,Limited independent access,https://mclarencars.techinfoportal.com
Aston Martin,Global,astonmartintechinfo.com,Included,Dealer system,N/A,Subscription,None noted,VIN lookup and subscription download,https://astonmartintechinfo.com
Lotus,Global,vsic.lotuscars.com,Included,20/20 Software,N/A,Contact,J2534 compatibility varies,Limited support,https://vsic.lotuscars.com
Tesla,Global,service.tesla.com,Included (Autopilot/FSD),Toolbox 3.0,Limited functions,$700/year (reduced),Some functions service-center only,Service info documents FREE since May 2022,https://service.tesla.com
Rivian,US,Email support,Developing,Via portal,Developing,$2500-$5500/year,Limited independent access,Website under development,aftersalessupport@rivian.com
Lucid,US,lucidmotors.com/knowledge,Limited,Lucid-only,Lucid network,Owner only,No independent portal,Service through Lucid network only,https://lucidmotors.com/knowledge
VinFast,EU,serviceinfo.vinfastauto.eu,Via DSA portal,Via portal,Subscription,Tiered pricing,Daily excludes diagnostics,J2534 compatible,https://serviceinfo.vinfastauto.eu
Polestar,US,Via Volvo dealers,Via Volvo VIDA,VIDA,Via Volvo,Via Volvo,No dedicated portal,Uses Volvo dealer infrastructure,Via Volvo dealers
